day_of_week,hour,n,mae,rmse
1,10,116,5.83493959276999,11.532015045601966
3,12,133,5.82042026844232,12.189124702833958
5,11,117,5.709462591373504,11.232657609664356
3,15,122,5.6041016064015166,11.063514594495535
4,16,121,5.516657410590448,11.223372958479962
4,0,90,5.509407657023993,11.374165682474324
2,9,127,5.509058576221424,10.369397935159238
1,13,109,5.482574397256672,9.962175884481175
4,15,114,5.480984280499973,11.963635531531525
3,8,142,5.4688193502039715,10.068346328274796
3,10,123,5.460635363015728,11.65438244558061
0,13,113,5.458198489341462,11.671627516126632
3,14,120,5.4532017899513905,11.225817341069995
0,9,120,5.421280347990019,12.328616438466192
3,11,134,5.3961398760755195,10.552494395333232
1,14,115,5.275849674749913,10.061438480789704
4,8,128,5.270011315141801,9.801429342373625
1,12,118,5.258117298307029,10.178335988887296
0,12,117,5.22581404270731,9.898811200765694
3,13,132,5.2145410101923275,10.89525003786917
1,7,123,5.180871811460177,10.094323179227384
4,7,148,5.083951434079168,12.044575455898851
0,10,123,5.043815233979517,8.845569691183725
0,14,119,4.992510503171908,10.483668110190983
3,16,120,4.947753717764197,10.046184620084022
3,9,127,4.904006779255188,9.242782264911229
0,7,132,4.849687151835927,10.506725901439701
4,9,137,4.784833472388574,9.585577357506912
4,13,131,4.743906322405365,9.7088357762858
5,9,112,4.708530601970545,8.14058055589952
1,9,126,4.566484876676313,8.806034210152918
2,13,128,4.560712894955142,8.893613586333371
4,10,135,4.494476529903025,9.739000855055457
5,7,84,4.4813794479495765,7.860185207149872
2,11,137,4.478325646153821,8.987425734076902
4,12,140,4.4739358914161045,10.258980824465704
2,8,134,4.469660005472302,9.105157902000078
0,1,62,4.426606526812998,11.995429636926527
2,10,131,4.406625297781215,8.755977361110899
0,8,147,4.386524700918086,10.060768944567034
4,11,128,4.384569962749516,7.530319400784745
3,7,129,4.380483169855486,8.35125610865718
0,11,124,4.369650729224728,8.161065934041176
2,7,127,4.343831228219221,8.467113338297116
1,8,123,4.3134045490988395,8.65725159975112
1,11,132,4.257692624376714,8.49493227024527
6,8,102,4.140169025657019,6.816875783001195
0,0,70,4.106666573115426,7.28891305441985
4,1,75,4.1065153123396065,7.180671084634172
2,1,57,4.060643806519253,7.768867385781495
5,8,98,4.053949827648091,7.086560787623607
6,9,117,4.027160494429241,7.567679475276504
1,1,63,4.022920396012923,8.533362841537343
2,12,139,4.012626475055141,7.5867753909632025
5,4,73,3.978085898449682,6.788669425190925
5,3,80,3.8787156328503456,8.370851543587952
6,4,95,3.873656364853652,7.131449065926685
6,5,71,3.7796306775920474,7.6350354143962615
4,6,132,3.535165025485526,7.320633292128399
4,2,58,3.4670784540875,5.236035792836016
3,6,121,3.3811660770248784,8.254502289602817
3,1,65,3.3484928874746385,5.440775314343782
0,2,44,3.2362440438673263,5.652356400932465
3,2,54,3.1637349761055815,4.770523150316134
6,7,113,3.129238170544101,7.386232639274575
4,3,57,3.093835677265365,5.182304458454046
6,6,90,3.0346802118442717,6.286435170058147
5,6,82,2.91611358704748,5.272312758906771
5,5,79,2.904948738275785,5.752300352370344
2,6,123,2.7334840350299334,5.3775616202837115
0,5,89,2.6806367461430396,6.1556378212740395
2,2,52,2.5288167193606146,3.5879134891959703
0,6,123,2.4870835153685613,4.806923437981124
3,5,113,2.252116977959863,4.851648663008006
0,3,43,2.235680257371984,3.61417329644983
1,6,124,2.1702861594587297,3.9211538881646097
3,3,55,2.0341048401280792,3.1887533624619326
4,4,92,2.0045305725951663,3.6227199944881345
4,5,96,2.0031333006125576,3.4961903045043106
1,5,96,1.933983111687952,3.1768878868695722
2,4,55,1.927688230483312,3.1762097757775893
1,3,43,1.8938429665734886,3.069765811441568
0,4,61,1.8471076195173142,2.921577888910003
3,4,63,1.7993045302720971,2.695154175579124
2,3,47,1.7438449636062783,2.2840724317158463
1,2,47,1.5957160622943645,3.0053736883287887
2,5,104,1.5552245276581098,2.707249224929676
1,4,58,1.1051787822164556,1.586139971434832
